case_id,citation,decision_date,has_termination,has_discipline,has_retaliation,has_coercion,has_privacy_violation,has_exclusion,has_mental_stress,claim_to_termination_days,timeline_flags
2020onwsiat62,2020 ONWSIAT 62 (CanLII),2020-01-10,0,0,0,0,0,0,0,,
2020onwsiat63,2020 ONWSIAT 63 (CanLII),2020-01-10,0,0,0,0,0,0,1,,
2020onwsiat64,2020 ONWSIAT 64 (CanLII),2020-01-10,0,0,0,0,0,0,0,,
2020onwsiat65,2020 ONWSIAT 65 (CanLII),2020-01-10,0,0,0,0,0,0,0,,
2020onwsiat66,2020 ONWSIAT 66 (CanLII),2020-01-10,0,0,0,0,0,0,0,,
2020onwsiat67,2020 ONWSIAT 67 (CanLII),2020-01-10,0,0,0,0,0,0,0,,
2020onwsiat68,2020 ONWSIAT 68 (CanLII),2020-01-10,0,0,0,0,0,0,0,,
2020onwsiat69,2020 ONWSIAT 69 (CanLII),2020-01-13,0,0,0,0,0,0,0,,
2020onwsiat70,2020 ONWSIAT 70 (CanLII),2020-01-13,0,0,0,0,0,0,0,,
2020onwsiat71,2020 ONWSIAT 71 (CanLII),2020-01-13,0,0,0,0,0,0,0,,
2020onwsiat72,2020 ONWSIAT 72 (CanLII),2020-01-13,0,0,0,0,0,0,0,,
2020onwsiat73,2020 ONWSIAT 73 (CanLII),2020-01-13,0,0,0,0,0,0,0,,
2020onwsiat74,2020 ONWSIAT 74 (CanLII),2020-01-13,0,0,0,0,0,0,0,,
2020onwsiat75,2020 ONWSIAT 75 (CanLII),2020-01-13,0,0,0,0,0,0,0,,
2020onwsiat76,2020 ONWSIAT 76 (CanLII),2020-01-13,0,0,0,0,0,0,0,,
2020onwsiat77,2020 ONWSIAT 77 (CanLII),2020-01-13,0,0,0,0,0,0,0,,
2020onwsiat78,2020 ONWSIAT 78 (CanLII),2020-01-14,0,0,0,0,0,0,0,,
2020onwsiat79,2020 ONWSIAT 79 (CanLII),2020-01-14,0,0,0,0,0,0,0,,
2020onwsiat80,2020 ONWSIAT 80 (CanLII),2020-01-14,0,0,0,0,0,0,0,,
2020onwsiat81,2020 ONWSIAT 81 (CanLII),2020-01-14,0,0,0,0,0,0,0,,
2020onwsiat82,2020 ONWSIAT 82 (CanLII),2020-01-14,0,0,0,0,0,0,0,,
2020onwsiat83,2020 ONWSIAT 83 (CanLII),2020-01-14,0,0,0,0,0,0,0,,
2020onwsiat84,2020 ONWSIAT 84 (CanLII),2020-01-14,0,0,0,0,0,0,0,,
2020onwsiat85,2020 ONWSIAT 85 (CanLII),2020-01-14,0,0,0,0,0,0,0,,
2020onwsiat86,2020 ONWSIAT 86 (CanLII),2020-01-14,0,0,0,0,0,0,0,,
2020onwsiat87,2020 ONWSIAT 87 (CanLII),2020-01-14,0,0,0,0,0,0,0,,
2020onwsiat88,2020 ONWSIAT 88 (CanLII),2020-01-14,0,0,0,0,0,0,0,,
2020onwsiat89,2020 ONWSIAT 89 (CanLII),2020-01-14,0,0,0,0,0,0,0,,
2020onwsiat90,2020 ONWSIAT 90 (CanLII),2020-01-14,0,0,0,0,0,0,0,,
2020onwsiat91,2020 ONWSIAT 91 (CanLII),2020-01-14,0,0,0,0,0,0,0,,
2020onwsiat92,2020 ONWSIAT 92 (CanLII),2020-01-15,0,0,0,0,0,0,0,,
2020onwsiat93,2020 ONWSIAT 93 (CanLII),2020-01-15,0,0,0,0,0,0,0,,
2020onwsiat94,2020 ONWSIAT 94 (CanLII),2020-01-15,0,0,0,0,0,0,0,,
